name,sac_scale,surface,trail_visibility,bicycle,horse,wheelchair,dog,stroller
Sulphur Springs Trail,0.0,2.0,1.0,2,2,0,1,0
Sulphur Springs Trail,0.0,2.0,1.0,2,2,0,1,0
Sulphur Springs Trail,0.0,2.0,1.0,2,2,0,1,0
Sulphur Springs Trail,0.0,2.0,1.0,2,2,0,1,0
Sulphur Springs Trail,0.0,2.0,1.0,2,2,0,1,0
Brissy Ridge Trail,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.02,1.0,2.0,1.0,2,2,0,1,0
Connector Trail,0.0,2.0,1.0,2,2,0,1,0
Connector Trail,0.0,2.0,1.0,2,2,0,1,0
Connector Trail,0.0,2.0,1.0,2,2,0,1,0
Turtle Trail,0.0,2.0,1.0,2,2,0,1,0
Buckhorn Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Buckhorn Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Brissy Ridge Trail,1.0,2.0,1.0,2,2,0,1,0
Brissy Ridge Trail,0.0,2.0,1.0,2,2,0,1,0
Brissy Ridge Trail,1.0,2.0,1.0,2,2,0,1,0
Pipsissewa Trail,1.0,2.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
The Tennessee Riverwalk,0.0,0.0,1.0,2,2,0,1,0
Sal's Branch Trail,0.0,2.0,1.0,2,2,0,1,0
乙女沢遊歩道,0.0,-1.0,1.0,2,2,0,1,0
乙女沢遊歩道,0.0,-1.0,1.0,2,2,0,1,0
乙女沢遊歩道,0.0,-1.0,1.0,2,2,0,1,0
Gas Pipe Way,0.0,2.0,1.0,2,2,0,1,0
さわやかウォーキング,0.0,-1.0,1.0,2,2,0,1,0
ささやきの小径,0.0,-1.0,1.0,2,2,0,1,0
Tailrace Trail,0.0,-1.0,0.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Blue Dot Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Tailrace Trail,0.0,1.0,0.0,2,2,0,1,0
North Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Kanuga Trail,0.0,2.0,1.0,2,2,0,1,0
Kanuga Trail,1.0,2.0,1.0,2,2,0,1,0
Connector Trail,0.0,2.0,1.0,2,2,0,1,0
Connector Trail,0.0,2.0,1.0,2,2,0,1,0
North Lake Trail,0.0,2.0,1.0,2,2,0,1,0
North Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Levada do Caniçal,0.0,-1.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Falls Lake Trail,0.0,2.0,1.0,2,2,0,1,0
Order of the Arrow Trail,0.0,2.0,0.0,2,2,0,1,0
Sendero El Torreon,2.0,-1.0,1.0,2,2,0,1,0
La Garganta Verde,0.0,2.0,2.0,2,2,0,1,0
La Garganta Verde,1.0,-1.0,1.0,2,2,0,1,0
Sendero Llanos de Rabel,1.0,1.0,1.0,2,2,0,1,0
El Hundidero,0.0,-1.0,1.0,2,2,0,1,0
Likya Yolu 2.02,1.0,-1.0,1.0,2,2,0,1,0
Likya Yolu 3.01,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 2.01,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu Ovacık - Faralya 2.01,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 2.02 Kabak plaj - Faralya,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu  2.02,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 2.02 Kabak - Faralya,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 2.03/2.11,2.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.01,4.0,2.0,1.0,2,2,0,1,0
Likya Yolu 4.02,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 4.02,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.03,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.04,2.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.03,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.03,2.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.04,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.04,1.0,2.0,1.0,2,2,0,1,0
Likya Yolu,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.04,1.0,2.0,1.0,2,2,0,1,0
Siphon Draw Trail,0.0,-1.0,1.0,2,2,0,1,0
Mountains to Sea Trail Connector,0.0,-1.0,1.0,2,2,0,1,0
Rattlesnake Lodge Trail,0.0,-1.0,1.0,2,2,0,1,0
Rattlesnake Lodge Trail,0.0,-1.0,1.0,2,2,0,1,0
Hieroglyphic Trail,0.0,2.0,0.0,1,1,0,1,0
Mountains to Sea Connector Trail,0.0,2.0,1.0,2,2,0,1,0
Frijoles Canyon Trail (154),1.0,2.0,1.0,1,1,0,1,0
Duggi Goth-Darkund Trail,1.0,-1.0,1.0,2,2,0,1,0
大山登山道　行者谷コース,1.0,2.0,1.0,2,2,0,1,0
大山登山道,1.0,2.0,1.0,2,2,0,1,0
Cabezon Peak Trail,2.0,2.0,0.0,2,2,0,1,0
1-3 Tochal Telecabin,0.0,2.0,0.0,2,2,0,1,0
Rattlesnake Lodge Trail,0.0,-1.0,1.0,2,2,0,1,0
South Baldy Trail #11,1.0,2.0,0.0,1,1,0,1,0
Osun,1.0,-1.0,1.0,2,2,0,1,0
Palangchal To 5th Tochal telecabin,0.0,2.0,0.0,2,2,0,1,0
Tochal 5th Station,0.0,-1.0,1.0,2,2,0,1,0
Sapsucker Spur,0.0,2.0,1.0,2,2,0,1,0
Darband To Shirpala,3.0,-1.0,0.0,2,2,0,1,0
Siahsang Spur,1.0,2.0,0.0,2,2,0,1,0
Likya Yolu 12.11,0.0,2.0,1.0,2,2,0,1,0
Likya Yolu 3.11,0.0,2.0,1.0,2,2,0,1,0
trail from Nopigia to Ravdougha,0.0,2.0,2.0,2,2,0,1,0
후리메기삼거리-주봉 2.5Km 1:00,0.0,-1.0,1.0,2,2,0,1,0
후리메기삼거리-주봉 2.5Km 1:00,0.0,-1.0,1.0,2,2,0,1,0
导航架-23公里,0.0,-1.0,1.0,2,2,0,1,0
Manimahesh Lake Dhanchho Trail,1.0,1.0,2.0,2,2,0,1,0
Tundah Mumbardhar Trail,1.0,-1.0,2.0,2,2,0,1,0
Mumbardhar Chaurasi Chali Trail,2.0,-1.0,2.0,2,2,0,1,0
Chaurasi Chali Chaurasi Pass Trail,3.0,-1.0,2.0,2,2,0,1,0
Chaurasi Pass Chaurasi Ka Dal Trail,3.0,-1.0,4.0,2,2,0,1,0
Chaurasi ka Dal Raili Dhar Trail,1.0,-1.0,1.0,2,2,0,1,0
Raili Dhar Datuin Path,1.0,2.0,1.0,1,1,0,1,0
Raili Dhar Datuin Path,1.0,2.0,1.0,1,1,0,1,0
Satrundi Sach Pass Trail,2.0,-1.0,1.0,2,2,0,1,0
Satrundi Sach Pass Trail,2.0,-1.0,1.0,2,2,0,1,0
Goraksan Mt. Hiking Trails,1.0,-1.0,0.0,2,2,0,1,0
